Filtering the log data using "process == "macos-dock-cc-v2" AND category == "fullscreen-green-probe""
Timestamp               Ty Process[PID:TID]
2026-08-09 00:07:21.443 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470224.447880 key-down keyCode=34 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:07:21.579 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470224.583649 key-down keyCode=1 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:07:21.673 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470224.677737 key-down keyCode=34 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:07:22.109 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470225.113410 key-down keyCode=49 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:07:23.344 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470226.348769 key-down keyCode=44 flags=0x20104 repeat=0 verdict=no-cache
2026-08-09 00:07:25.309 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470228.313826 mouse-down point=(846.5,1314.0) flipped=(846.5,126.0) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:07:26.349 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470229.353885 mouse-down point=(933.8,1057.5) flipped=(933.8,382.5) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:07:27.413 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470230.417658 mouse-down point=(866.1,1308.6) flipped=(866.1,131.4) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:07:28.365 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470231.369796 mouse-down point=(979.7,1042.9) flipped=(979.7,397.1) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:07:29.229 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470232.233795 mouse-down point=(1600.3,1159.6) flipped=(1600.3,280.4) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:07:30.109 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470233.113727 mouse-down point=(1549.2,1309.5) flipped=(1549.2,130.5) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:07:53.622 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470256.626315 mouse-down point=(422.1,491.2) flipped=(422.1,948.8) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:07:53.690 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470256.694487 cache-ready pid=81876 wid=54444 button=(362.0,110.0,16.0,16.0) window=(308.0,102.0,603.0,505.0)
2026-08-09 00:08:00.031 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470263.036029 mouse-down point=(544.9,124.4) flipped=(544.9,1315.6) flags=0x0 under=0 cachedWid=54444 button=(362.0,110.0,16.0,16.0) age=0.063 active=1 fullscreen=0 exact=0 flippedHit=0 expanded=0 windowMatch=0 screenMatch=1 verdict=outside-button
2026-08-09 00:08:00.285 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470263.289625 cache-ready pid=81876 wid=54444 button=(316.0,180.0,16.0,16.0) window=(262.0,172.0,603.0,505.0)
2026-08-09 00:08:00.368 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470263.372941 cache-ready pid=81876 wid=54444 button=(287.0,215.0,16.0,16.0) window=(233.0,207.0,603.0,505.0)
2026-08-09 00:08:01.482 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470264.486910 mouse-down point=(1093.9,1263.5) flipped=(1093.9,176.5) flags=0x0 under=0 cachedWid=54444 button=(287.0,215.0,16.0,16.0) age=0.013 active=1 fullscreen=0 exact=0 flippedHit=0 expanded=0 windowMatch=0 screenMatch=1 verdict=outside-button
2026-08-09 00:08:02.494 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470265.499291 key-down keyCode=13 flags=0x100 repeat=0 verdict=no-cache
